RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,White alone ,White alone High school graduate or higher,White alone Bachelor's degree or higher,Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian High school graduate or higher,Asian Bachelor's degree or higher,Some other race alone,Some other race  High school graduate or higher,Some other race Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races  Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher
Arkansas!!Total!!Estimate,1502180,1369911,411447,276968,241519,52928,11466,8410,2862,30422,25959,13884,48945,28059,5469,161552,129477,28412,122921,75184,15559
Arkansas!!Percent!!Estimate,(X),0.912,0.274,(X),0.872,0.191,(X),0.733,0.25,(X),0.853,0.456,(X),0.573,0.112,(X),0.801,0.176,(X),0.612,0.127
Arkansas!!Male!!Estimate,726614,655605,190132,126303,108230,20076,5363,3916,1179,13810,12034,7633,27280,14650,2307,79667,61095,12846,63793,36001,7096
Arkansas!!Percent Male!!Estimate,(X),0.902,0.262,(X),0.857,0.159,(X),0.73,0.22,(X),0.871,0.553,(X),0.537,0.085,(X),0.767,0.161,(X),0.564,0.111
Arkansas!!Female!!Estimate,775566,714306,221315,150665,133289,32852,6103,4494,1683,16612,13925,6251,21665,13409,3162,81885,68382,15566,59128,39183,8463
Arkansas!!Percent Female!!Estimate,(X),0.921,0.285,(X),0.885,0.218,(X),0.736,0.276,(X),0.838,0.376,(X),0.619,0.146,(X),0.835,0.19,(X),0.663,0.143
California!!Total!!Estimate,11574198,10855296,5161935,1505960,1365488,421317,350411,246909,58563,4422975,3920278,2438033,4660801,2983869,579270,4291796,3264313,1058014,9429445,6425060,1500196
California!!Percent!!Estimate,(X),0.938,0.446,(X),0.907,0.28,(X),0.705,0.167,(X),0.886,0.551,(X),0.64,0.124,(X),0.761,0.247,(X),0.681,0.159
California!!Male!!Estimate,5767286,5386799,2590770,747822,667464,187814,178997,122160,27533,2053927,1846304,1147845,2366343,1495334,266164,2139055,1606094,489460,4731879,3165481,676036
California!!Percent Male!!Estimate,(X),0.934,0.449,(X),0.893,0.251,(X),0.682,0.154,(X),0.899,0.559,(X),0.632,0.112,(X),0.751,0.229,(X),0.669,0.143
California!!Female!!Estimate,5806912,5468497,2571165,758138,698024,233503,171414,124749,31030,2369048,2073974,1290188,2294458,1488535,313106,2152741,1658219,568554,4697566,3259579,824160
California!!Percent Female!!Estimate,(X),0.942,0.443,(X),0.921,0.308,(X),0.728,0.181,(X),0.875,0.545,(X),0.649,0.136,(X),0.77,0.264,(X),0.694,0.175
Colorado!!Total!!Estimate,2999466,2881501,1479678,149317,135390,44767,41735,33948,7872,135441,116220,72976,227550,161618,42477,485465,404911,147604,742970,567322,159007
Colorado!!Percent!!Estimate,(X),0.961,0.493,(X),0.907,0.3,(X),0.813,0.189,(X),0.858,0.539,(X),0.71,0.187,(X),0.834,0.304,(X),0.764,0.214
Colorado!!Male!!Estimate,1501032,1432780,719655,80531,73586,22074,22062,17292,3470,60333,52481,33823,122138,83779,21573,245646,202225,71216,378683,279585,76694
Colorado!!Percent Male!!Estimate,(X),0.955,0.479,(X),0.914,0.274,(X),0.784,0.157,(X),0.87,0.561,(X),0.686,0.177,(X),0.823,0.29,(X),0.738,0.203
Colorado!!Female!!Estimate,1498434,1448721,760023,68786,61804,22693,19673,16656,4402,75108,63739,39153,105412,77839,20904,239819,202686,76388,364287,287737,82313
Colorado!!Percent Female!!Estimate,(X),0.967,0.507,(X),0.898,0.33,(X),0.847,0.224,(X),0.849,0.521,(X),0.738,0.198,(X),0.845,0.319,(X),0.79,0.226
Connecticut!!Total!!Estimate,1758999,1662001,822862,252690,223992,65705,8670,6439,2456,117298,106006,77689,167888,118436,28310,227454,191098,70573,371561,277878,77525
Connecticut!!Percent!!Estimate,(X),0.945,0.468,(X),0.886,0.26,(X),0.743,0.283,(X),0.904,0.662,(X),0.705,0.169,(X),0.84,0.31,(X),0.748,0.209
Connecticut!!Male!!Estimate,849726,797405,389737,118577,104131,26051,5443,4169,1691,55588,50863,37429,85130,58374,12227,106948,86509,29407,181188,129796,31175
Connecticut!!Percent Male!!Estimate,(X),0.938,0.459,(X),0.878,0.22,(X),0.766,0.311,(X),0.915,0.673,(X),0.686,0.144,(X),0.809,0.275,(X),0.716,0.172
Connecticut!!Female!!Estimate,909273,864596,433125,134113,119861,39654,3227,2270,765,61710,55143,40260,82758,60062,16083,120506,104589,41166,190373,148082,46350
Connecticut!!Percent Female!!Estimate,(X),0.951,0.476,(X),0.894,0.296,(X),0.703,0.237,(X),0.894,0.652,(X),0.726,0.194,(X),0.868,0.342,(X),0.778,0.243
Delaware!!Total!!Estimate,465751,439262,175698,138516,125050,37474,N,N,N,29184,26679,21317,27886,15510,3352,47375,41213,14443,54254,36110,10163
Delaware!!Percent!!Estimate,(X),0.943,0.377,(X),0.903,0.271,(X),N,N,(X),0.914,0.73,(X),0.556,0.12,(X),0.87,0.305,(X),0.666,0.187
Delaware!!Male!!Estimate,223262,207710,83260,63528,56993,14607,N,N,N,14359,13501,11103,15171,8489,1653,22172,19463,5976,27250,18017,4597
Delaware!!Percent Male!!Estimate,(X),0.93,0.373,(X),0.897,0.23,(X),N,N,(X),0.94,0.773,(X),0.56,0.109,(X),0.878,0.27,(X),0.661,0.169
Delaware!!Female!!Estimate,242489,231552,92438,74988,68057,22867,N,N,N,14825,13178,10214,12715,7021,1699,25203,21750,8467,27004,18093,5566
Delaware!!Percent Female!!Estimate,(X),0.955,0.381,(X),0.908,0.305,(X),N,N,(X),0.889,0.689,(X),0.552,0.134,(X),0.863,0.336,(X),0.67,0.206
Florida!!Total!!Estimate,9406998,8807228,3436493,2134759,1834275,487450,43970,32764,10041,454797,395464,236690,922629,717568,211868,2790467,2358155,842046,3934980,3219657,1083074
Florida!!Percent!!Estimate,(X),0.936,0.365,(X),0.859,0.228,(X),0.745,0.228,(X),0.87,0.52,(X),0.778,0.23,(X),0.845,0.302,(X),0.818,0.275
Florida!!Male!!Estimate,4589074,4270121,1695850,1005056,847798,192369,23877,16408,5568,201657,178850,109183,456205,344892,92929,1357551,1138003,390782,1926337,1555779,496361
Florida!!Percent Male!!Estimate,(X),0.93,0.37,(X),0.844,0.191,(X),0.687,0.233,(X),0.887,0.541,(X),0.756,0.204,(X),0.838,0.288,(X),0.808,0.258
Florida!!Female!!Estimate,4817924,4537107,1740643,1129703,986477,295081,20093,16356,4473,253140,216614,127507,466424,372676,118939,1432916,1220152,451264,2008643,1663878,586713
Florida!!Percent Female!!Estimate,(X),0.942,0.361,(X),0.873,0.261,(X),0.814,0.223,(X),0.856,0.504,(X),0.799,0.255,(X),0.852,0.315,(X),0.828,0.292
Georgia!!Total!!Estimate,4001264,3674877,1514316,2158222,1913622,599859,29622,17517,5294,319465,281171,186903,221192,138769,42532,501148,407601,155557,574391,392476,130666
Georgia!!Percent!!Estimate,(X),0.918,0.378,(X),0.887,0.278,(X),0.591,0.179,(X),0.88,0.585,(X),0.627,0.192,(X),0.813,0.31,(X),0.683,0.227
Georgia!!Male!!Estimate,1950857,1774434,728761,967101,835328,226164,16060,9633,2969,149353,133596,91566,118304,71302,21200,240066,190920,70083,293614,194551,60937
Georgia!!Percent Male!!Estimate,(X),0.91,0.374,(X),0.864,0.234,(X),0.6,0.185,(X),0.894,0.613,(X),0.603,0.179,(X),0.795,0.292,(X),0.663,0.208
Georgia!!Female!!Estimate,2050407,1900443,785555,1191121,1078294,373695,13562,7884,2325,170112,147575,95337,102888,67467,21332,261082,216681,85474,280777,197925,69729
Georgia!!Percent Female!!Estimate,(X),0.927,0.383,(X),0.905,0.314,(X),0.581,0.171,(X),0.868,0.56,(X),0.656,0.207,(X),0.83,0.327,(X),0.705,0.248
Hawaii!!Total!!Estimate,247436,240034,120480,19262,18595,7625,3082,2708,756,427265,386552,157160,18511,17006,5032,212008,199339,60206,83289,77879,21687
Hawaii!!Percent!!Estimate,(X),0.97,0.487,(X),0.965,0.396,(X),0.879,0.245,(X),0.905,0.368,(X),0.919,0.272,(X),0.94,0.284,(X),0.935,0.26
Hawaii!!Male!!Estimate,130853,126766,60132,12224,11658,3490,1475,1166,329,194394,175034,67027,10414,9221,2970,106747,98018,27099,42311,38850,9511
Hawaii!!Percent Male!!Estimate,(X),0.969,0.46,(X),0.954,0.286,(X),0.791,0.223,(X),0.9,0.345,(X),0.885,0.285,(X),0.918,0.254,(X),0.918,0.225
Hawaii!!Female!!Estimate,116583,113268,60348,7038,6937,4135,1607,1542,427,232871,211518,90133,8097,7785,2062,105261,101321,33107,40978,39029,12176
Hawaii!!Percent Female!!Estimate,(X),0.972,0.518,(X),0.986,0.588,(X),0.96,0.266,(X),0.908,0.387,(X),0.961,0.255,(X),0.963,0.315,(X),0.952,0.297
Idaho!!Total!!Estimate,1054124,990013,341035,6998,4919,1790,13404,11637,2711,18322,15730,8859,63046,42286,10206,100568,81964,21186,131533,90584,19140
Idaho!!Percent!!Estimate,(X),0.939,0.324,(X),0.703,0.256,(X),0.868,0.202,(X),0.859,0.484,(X),0.671,0.162,(X),0.815,0.211,(X),0.689,0.146
Idaho!!Male!!Estimate,524574,490335,164116,4731,3768,1427,6005,5033,615,7405,6165,4145,32619,21016,4268,48822,37896,9238,68163,44305,7156
Idaho!!Percent Male!!Estimate,(X),0.935,0.313,(X),0.796,0.302,(X),0.838,0.102,(X),0.833,0.56,(X),0.644,0.131,(X),0.776,0.189,(X),0.65,0.105
Idaho!!Female!!Estimate,529550,499678,176919,2267,1151,363,7399,6604,2096,10917,9565,4714,30427,21270,5938,51746,44068,11948,63370,46279,11984
Idaho!!Percent Female!!Estimate,(X),0.944,0.334,(X),0.508,0.16,(X),0.893,0.283,(X),0.876,0.432,(X),0.699,0.195,(X),0.852,0.231,(X),0.73,0.189
Illinois!!Total!!Estimate,5663638,5348180,2317395,1137909,1002738,285882,52279,37381,8399,522981,478254,342633,580678,392363,85440,769434,610414,201692,1316805,946946,239589
Illinois!!Percent!!Estimate,(X),0.944,0.409,(X),0.881,0.251,(X),0.715,0.161,(X),0.914,0.655,(X),0.676,0.147,(X),0.793,0.262,(X),0.719,0.182
Illinois!!Male!!Estimate,2768115,2602509,1108777,513814,438811,105045,26830,18798,3973,248821,232588,168211,301043,201507,37439,388827,303311,95576,676553,479008,111646
Illinois!!Percent Male!!Estimate,(X),0.94,0.401,(X),0.854,0.204,(X),0.701,0.148,(X),0.935,0.676,(X),0.669,0.124,(X),0.78,0.246,(X),0.708,0.165
Illinois!!Female!!Estimate,2895523,2745671,1208618,624095,563927,180837,25449,18583,4426,274160,245666,174422,279635,190856,48001,380607,307103,106116,640252,467938,127943
Illinois!!Percent Female!!Estimate,(X),0.948,0.417,(X),0.904,0.29,(X),0.73,0.174,(X),0.896,0.636,(X),0.683,0.172,(X),0.807,0.279,(X),0.731,0.2
Indiana!!Total!!Estimate,3705761,3418149,1100694,376912,329009,78645,12522,10522,1846,98834,79073,52802,115333,82477,17920,249215,212904,64772,265091,199927,53367
Indiana!!Percent!!Estimate,(X),0.922,0.297,(X),0.873,0.209,(X),0.84,0.147,(X),0.8,0.534,(X),0.715,0.155,(X),0.854,0.26,(X),0.754,0.201
Indiana!!Male!!Estimate,1811551,1662489,515327,175042,151829,29609,6867,5735,1020,47999,38622,26353,60354,42907,7929,123307,104900,29792,137643,102377,24961
Indiana!!Percent Male!!Estimate,(X),0.918,0.284,(X),0.867,0.169,(X),0.835,0.149,(X),0.805,0.549,(X),0.711,0.131,(X),0.851,0.242,(X),0.744,0.181
Indiana!!Female!!Estimate,1894210,1755660,585367,201870,177180,49036,5655,4787,826,50835,40451,26449,54979,39570,9991,125908,108004,34980,127448,97550,28406
Indiana!!Percent Female!!Estimate,(X),0.927,0.309,(X),0.878,0.243,(X),0.847,0.146,(X),0.796,0.52,(X),0.72,0.182,(X),0.858,0.278,(X),0.765,0.223
Iowa!!Total!!Estimate,1879736,1788517,587122,61450,52696,13540,8372,7062,1473,47459,36549,19716,38175,24454,6533,99790,83437,23921,100788,70844,16772
Iowa!!Percent!!Estimate,(X),0.951,0.312,(X),0.858,0.22,(X),0.844,0.176,(X),0.77,0.415,(X),0.641,0.171,(X),0.836,0.24,(X),0.703,0.166
Iowa!!Male!!Estimate,922612,873925,271008,32631,27904,7257,4430,3521,663,22891,17843,9381,20565,12162,3518,49986,40483,11212,51505,34106,6951
Iowa!!Percent Male!!Estimate,(X),0.947,0.294,(X),0.855,0.222,(X),0.795,0.15,(X),0.779,0.41,(X),0.591,0.171,(X),0.81,0.224,(X),0.662,0.135
Iowa!!Female!!Estimate,957124,914592,316114,28819,24792,6283,3942,3541,810,24568,18706,10335,17610,12292,3015,49804,42954,12709,49283,36738,9821
Iowa!!Percent Female!!Estimate,(X),0.956,0.33,(X),0.86,0.218,(X),0.898,0.205,(X),0.761,0.421,(X),0.698,0.171,(X),0.862,0.255,(X),0.745,0.199
Kansas!!Total!!Estimate,1548538,1465386,583844,101035,87615,24362,12773,10412,2263,57892,50629,30711,71721,45400,9189,149016,124206,37083,189092,132546,32462
Kansas!!Percent!!Estimate,(X),0.946,0.377,(X),0.867,0.241,(X),0.815,0.177,(X),0.875,0.53,(X),0.633,0.128,(X),0.834,0.249,(X),0.701,0.172
Kansas!!Male!!Estimate,756980,711026,279205,53090,45516,11879,6319,5043,798,27326,24208,15456,37871,23433,3749,76123,62880,19280,97234,66690,15754
Kansas!!Percent Male!!Estimate,(X),0.939,0.369,(X),0.857,0.224,(X),0.798,0.126,(X),0.886,0.566,(X),0.619,0.099,(X),0.826,0.253,(X),0.686,0.162
Kansas!!Female!!Estimate,791558,754360,304639,47945,42099,12483,6454,5369,1465,30566,26421,15255,33850,21967,5440,72893,61326,17803,91858,65856,16708
Kansas!!Percent Female!!Estimate,(X),0.953,0.385,(X),0.878,0.26,(X),0.832,0.227,(X),0.864,0.499,(X),0.649,0.161,(X),0.841,0.244,(X),0.717,0.182
Kentucky!!Total!!Estimate,2640183,2342686,726550,201722,177441,40560,6780,5751,786,42119,34620,21571,33515,22415,5517,151253,123463,35341,88516,61829,17825
Kentucky!!Percent!!Estimate,(X),0.887,0.275,(X),0.88,0.201,(X),0.848,0.116,(X),0.822,0.512,(X),0.669,0.165,(X),0.816,0.234,(X),0.699,0.201
Kentucky!!Male!!Estimate,1278433,1118792,328038,99594,85399,15875,3490,2837,451,20296,16937,10908,19162,12651,2727,72037,57712,15443,46715,32269,8729
Kentucky!!Percent Male!!Estimate,(X),0.875,0.257,(X),0.857,0.159,(X),0.813,0.129,(X),0.834,0.537,(X),0.66,0.142,(X),0.801,0.214,(X),0.691,0.187
Kentucky!!Female!!Estimate,1361750,1223894,398512,102128,92042,24685,3290,2914,335,21823,17683,10663,14353,9764,2790,79216,65751,19898,41801,29560,9096
Kentucky!!Percent Female!!Estimate,(X),0.899,0.293,(X),0.901,0.242,(X),0.886,0.102,(X),0.81,0.489,(X),0.68,0.194,(X),0.83,0.251,(X),0.707,0.218
Louisiana!!Total!!Estimate,1911461,1725026,597922,913832,749171,150530,15844,11011,2212,57886,44784,23094,49865,33302,8405,166054,136688,41830,143757,108017,33370
Louisiana!!Percent!!Estimate,(X),0.902,0.313,(X),0.82,0.165,(X),0.695,0.14,(X),0.774,0.399,(X),0.668,0.169,(X),0.823,0.252,(X),0.751,0.232
Louisiana!!Male!!Estimate,934056,826179,281210,418874,328254,50310,8479,5407,607,28146,21597,11527,26436,16859,3762,76985,60631,17832,75631,53855,14700
Louisiana!!Percent Male!!Estimate,(X),0.885,0.301,(X),0.784,0.12,(X),0.638,0.072,(X),0.767,0.41,(X),0.638,0.142,(X),0.788,0.232,(X),0.712,0.194
Louisiana!!Female!!Estimate,977405,898847,316712,494958,420917,100220,7365,5604,1605,29740,23187,11567,23429,16443,4643,89069,76057,23998,68126,54162,18670
Louisiana!!Percent Female!!Estimate,(X),0.92,0.324,(X),0.85,0.202,(X),0.761,0.218,(X),0.78,0.389,(X),0.702,0.198,(X),0.854,0.269,(X),0.795,0.274
Maine!!Total!!Estimate,934786,885113,337549,10000,9037,3627,3166,3038,513,12448,11515,6146,8157,7071,3137,46258,43496,14231,15636,14346,5546
Maine!!Percent!!Estimate,(X),0.947,0.361,(X),0.904,0.363,(X),0.96,0.162,(X),0.925,0.494,(X),0.867,0.385,(X),0.94,0.308,(X),0.917,0.355
Maine!!Male!!Estimate,453384,423690,153201,5865,5356,1988,1409,1338,105,4484,4339,2087,3653,3215,1614,23267,21076,6409,7835,7140,2778
Maine!!Percent Male!!Estimate,(X),0.935,0.338,(X),0.913,0.339,(X),0.95,0.075,(X),0.968,0.465,(X),0.88,0.442,(X),0.906,0.275,(X),0.911,0.355
Maine!!Female!!Estimate,481402,461423,184348,4135,3681,1639,1757,1700,408,7964,7176,4059,4504,3856,1523,22991,22420,7822,7801,7206,2768
Maine!!Percent Female!!Estimate,(X),0.958,0.383,(X),0.89,0.396,(X),0.968,0.232,(X),0.901,0.51,(X),0.856,0.338,(X),0.975,0.34,(X),0.924,0.355
Maryland!!Total!!Estimate,2229542,2115553,1075943,1241639,1133048,403824,16162,11880,3229,291944,261109,183533,229370,138704,38871,261757,229460,111858,382476,261629,94279
Maryland!!Percent!!Estimate,(X),0.949,0.483,(X),0.913,0.325,(X),0.735,0.2,(X),0.894,0.629,(X),0.605,0.169,(X),0.877,0.427,(X),0.684,0.246
Maryland!!Male!!Estimate,1083866,1022482,518479,566174,508377,166297,8084,5599,1422,136375,125136,89609,121319,69964,17223,121292,103724,49977,197686,129692,43763
Maryland!!Percent Male!!Estimate,(X),0.943,0.478,(X),0.898,0.294,(X),0.693,0.176,(X),0.918,0.657,(X),0.577,0.142,(X),0.855,0.412,(X),0.656,0.221
Maryland!!Female!!Estimate,1145676,1093071,557464,675465,624671,237527,8078,6281,1807,155569,135973,93924,108051,68740,21648,140465,125736,61881,184790,131937,50516
Maryland!!Percent Female!!Estimate,(X),0.954,0.487,(X),0.925,0.352,(X),0.778,0.224,(X),0.874,0.604,(X),0.636,0.2,(X),0.895,0.441,(X),0.714,0.273
Massachusetts!!Total!!Estimate,3593755,3404540,1789166,307459,268853,97906,10858,8310,2229,344221,294668,220658,248754,176612,54377,428565,341573,135655,520576,377142,120345
Massachusetts!!Percent!!Estimate,(X),0.947,0.498,(X),0.874,0.318,(X),0.765,0.205,(X),0.856,0.641,(X),0.71,0.219,(X),0.797,0.317,(X),0.724,0.231
Massachusetts!!Male!!Estimate,1727918,1624571,848486,148937,131785,46838,6171,4270,984,161748,140933,106296,121044,86091,22506,207028,164971,61555,254135,183020,56098
Massachusetts!!Percent Male!!Estimate,(X),0.94,0.491,(X),0.885,0.314,(X),0.692,0.159,(X),0.871,0.657,(X),0.711,0.186,(X),0.797,0.297,(X),0.72,0.221
Massachusetts!!Female!!Estimate,1865837,1779969,940680,158522,137068,51068,4687,4040,1245,182473,153735,114362,127710,90521,31871,221537,176602,74100,266441,194122,64247
Massachusetts!!Percent Female!!Estimate,(X),0.954,0.504,(X),0.865,0.322,(X),0.862,0.266,(X),0.843,0.627,(X),0.709,0.25,(X),0.797,0.334,(X),0.729,0.241
Michigan!!Total!!Estimate,5374750,5026242,1764838,876343,769487,170648,34093,28380,5356,220923,199423,144719,115232,84351,22344,348851,302369,99664,298464,232091,67330
Michigan!!Percent!!Estimate,(X),0.935,0.328,(X),0.878,0.195,(X),0.832,0.157,(X),0.903,0.655,(X),0.732,0.194,(X),0.867,0.286,(X),0.778,0.226
Michigan!!Male!!Estimate,2646582,2457825,839075,400737,345157,63410,17018,13741,1897,106178,97673,75814,59999,42688,11561,174073,146687,45482,151401,112558,29491
Michigan!!Percent Male!!Estimate,(X),0.929,0.317,(X),0.861,0.158,(X),0.807,0.111,(X),0.92,0.714,(X),0.711,0.193,(X),0.843,0.261,(X),0.743,0.195
Michigan!!Female!!Estimate,2728168,2568417,925763,475606,424330,107238,17075,14639,3459,114745,101750,68905,55233,41663,10783,174778,155682,54182,147063,119533,37839
Michigan!!Percent Female!!Estimate,(X),0.941,0.339,(X),0.892,0.225,(X),0.857,0.203,(X),0.887,0.601,(X),0.754,0.195,(X),0.891,0.31,(X),0.813,0.257
Minnesota!!Total!!Estimate,3202298,3090669,1300842,214088,178037,52031,28497,24093,3986,183256,155407,81854,86570,60398,19346,182737,160173,58056,170732,123311,37990
Minnesota!!Percent!!Estimate,(X),0.965,0.406,(X),0.832,0.243,(X),0.845,0.14,(X),0.848,0.447,(X),0.698,0.223,(X),0.877,0.318,(X),0.722,0.223
Minnesota!!Male!!Estimate,1585700,1520389,618477,110957,95783,29154,14830,12290,1633,88651,76574,37750,43967,29700,8519,90650,78030,25074,87237,60410,16257
Minnesota!!Percent Male!!Estimate,(X),0.959,0.39,(X),0.863,0.263,(X),0.829,0.11,(X),0.864,0.426,(X),0.676,0.194,(X),0.861,0.277,(X),0.692,0.186
Minnesota!!Female!!Estimate,1616598,1570280,682365,103131,82254,22877,13667,11803,2353,94605,78833,44104,42603,30698,10827,92087,82143,32982,83495,62901,21733
Minnesota!!Percent Female!!Estimate,(X),0.971,0.422,(X),0.798,0.222,(X),0.864,0.172,(X),0.833,0.466,(X),0.721,0.254,(X),0.892,0.358,(X),0.753,0.26
Mississippi!!Total!!Estimate,1164987,1045271,331568,675192,553889,123081,8455,6803,913,17928,14993,7933,19693,12838,4567,81647,68158,19554,49706,32963,10720
Mississippi!!Percent!!Estimate,(X),0.897,0.285,(X),0.82,0.182,(X),0.805,0.108,(X),0.836,0.442,(X),0.652,0.232,(X),0.835,0.239,(X),0.663,0.216
Mississippi!!Male!!Estimate,565815,494386,146043,303607,238837,40533,4243,3511,446,7558,6532,3179,10902,7189,2542,39290,31644,7107,26021,15490,4210
Mississippi!!Percent Male!!Estimate,(X),0.874,0.258,(X),0.787,0.134,(X),0.827,0.105,(X),0.864,0.421,(X),0.659,0.233,(X),0.805,0.181,(X),0.595,0.162
Mississippi!!Female!!Estimate,599172,550885,185525,371585,315052,82548,4212,3292,467,10370,8461,4754,8791,5649,2025,42357,36514,12447,23685,17473,6510
Mississippi!!Percent Female!!Estimate,(X),0.919,0.31,(X),0.848,0.222,(X),0.782,0.111,(X),0.816,0.458,(X),0.643,0.23,(X),0.862,0.294,(X),0.738,0.275
Missouri!!Total!!Estimate,3396570,3148582,1116654,423751,372989,89549,13416,10904,3513,86905,78309,52149,57971,44242,14565,243145,211744,63192,146158,114707,33584
Missouri!!Percent!!Estimate,(X),0.927,0.329,(X),0.88,0.211,(X),0.813,0.262,(X),0.901,0.6,(X),0.763,0.251,(X),0.871,0.26,(X),0.785,0.23
Missouri!!Male!!Estimate,1657842,1527226,524007,191412,163454,36042,8031,6581,1825,40762,37972,26231,29365,21250,6950,115370,98507,26587,73719,55562,16522
Missouri!!Percent Male!!Estimate,(X),0.921,0.316,(X),0.854,0.188,(X),0.819,0.227,(X),0.932,0.644,(X),0.724,0.237,(X),0.854,0.23,(X),0.754,0.224
Missouri!!Female!!Estimate,1738728,1621356,592647,232339,209535,53507,5385,4323,1688,46143,40337,25918,28606,22992,7615,127775,113237,36605,72439,59145,17062
Missouri!!Percent Female!!Estimate,(X),0.932,0.341,(X),0.902,0.23,(X),0.803,0.313,(X),0.874,0.562,(X),0.804,0.266,(X),0.886,0.286,(X),0.816,0.236
Montana!!Total!!Estimate,672398,641345,243327,3279,3079,555,34556,28335,4559,6308,5526,3197,9790,8009,2099,40062,36821,13083,24626,20603,4759
Montana!!Percent!!Estimate,(X),0.954,0.362,(X),0.939,0.169,(X),0.82,0.132,(X),0.876,0.507,(X),0.818,0.214,(X),0.919,0.327,(X),0.837,0.193
Montana!!Male!!Estimate,338629,321052,118266,2397,2241,316,17844,13983,2005,2940,2729,2018,5102,3968,1467,19426,17098,6275,12823,10115,2402
